Year,Revenue,EBIT,FCF
2022,26914000000.0,10177000000.0,8132000000.0
2023,26974000000.0,4443000000.0,3808000000.0
2024,60922000000.0,34075000000.0,27021000000.0
2025,130497000000.0,84273000000.0,60853000000.0
