Year,Revenue,EBIT,FCF
2021,,,
2022,394328000000.0,119437000000.0,111443000000.0
2023,383285000000.0,114301000000.0,99584000000.0
2024,391035000000.0,123216000000.0,108807000000.0
2025,416161000000.0,133050000000.0,98767000000.0
