Year,Revenue,EBIT,FCF
2020,,,
2021,469822000000.0,39960000000.0,-14726000000.0
2022,513983000000.0,-3569000000.0,-16893000000.0
2023,574785000000.0,40739000000.0,32217000000.0
2024,637959000000.0,71020000000.0,32878000000.0
