Year,Revenue,EBIT,FCF
2021,257637000000.0,91080000000.0,67012000000.0
2022,282836000000.0,71685000000.0,60010000000.0
2023,307394000000.0,86025000000.0,69495000000.0
2024,350018000000.0,120083000000.0,72764000000.0
