Year,Revenue,EBIT,FCF
2020,,,
2021,38655000000.0,14022000000.0,11258000000.0
2022,43004000000.0,12568000000.0,9534000000.0
2023,45754000000.0,14479000000.0,9747000000.0
2024,47061000000.0,14742000000.0,4741000000.0
