Year,Revenue,EBIT,FCF
2021,78740000000.0,19361000000.0,19758000000.0
2022,79990000000.0,19635000000.0,17185000000.0
2023,85159000000.0,15834000000.0,17778000000.0
2024,88821000000.0,17442000000.0,18059000000.0
