Year,Revenue,EBIT,FCF
2020,,,
2021,88744000000.0,32352000000.0,20776000000.0
2022,149004000000.0,79533000000.0,26378000000.0
2023,106848000000.0,39006000000.0,14126000000.0
2024,102502000000.0,32043000000.0,7933000000.0
