Year,Revenue,EBIT,FCF
2020,,,
2021,479983000.0,135084000.0,-80848000.0
2022,387503000.0,46071000.0,6418000.0
2023,575087000.0,115911000.0,55915000.0
2024,623509000.0,111465000.0,116429000.0
