Year,Revenue,EBIT,FCF
2020,,,
2021,117929000000.0,47307000000.0,38993000000.0
2022,116609000000.0,29004000000.0,19289000000.0
2023,134902000000.0,47874000000.0,44068000000.0
2024,164501000000.0,71378000000.0,54072000000.0
