Year,Revenue,EBIT,FCF
2022,80187000000.0,18434000000.0,13567000000.0
2023,82006000000.0,19109000000.0,13786000000.0
2024,84039000000.0,19686000000.0,16524000000.0
2025,84284000000.0,21074000000.0,14044000000.0
